"id_cell","x","y","Freq 1","Freq 2","Freq 3","Freq 4","Freq 5","Freq 6","Freq 7"
135,-73.805075543,40.85126753,0,0,0,0,0,0,0
136,-73.785075543,40.85126753,0,9,12,5,5,0,0
137,-73.765075543,40.85126753,0,0,0,0,0,0,0
138,-73.745075543,40.85126753,0,0,0,0,0,0,0
139,-73.725075543,40.85126753,0,0,0,0,0,0,0
140,-73.705075543,40.85126753,0,0,0,0,0,0,0
141,-74.245075543,40.83626753,0,0,0,0,0,0,0
142,-74.225075543,40.83626753,0,0,0,0,0,0,0
143,-74.205075543,40.83626753,0,0,0,0,0,0,0
144,-74.185075543,40.83626753,0,0,0,0,0,0,0
145,-74.165075543,40.83626753,0,0,0,0,0,0,0
146,-74.145075543,40.83626753,0,0,0,0,0,0,0
147,-74.125075543,40.83626753,0,0,0,0,0,0,0
148,-74.105075543,40.83626753,0,0,0,0,0,0,0
149,-74.085075543,40.83626753,0,0,0,0,0,0,0
150,-74.065075543,40.83626753,0,0,0,0,0,0,0
151,-74.045075543,40.83626753,0,0,0,0,0,0,0
152,-74.025075543,40.83626753,0,0,0,0,0,0,0
153,-74.005075543,40.83626753,0,0,0,0,0,0,0
154,-73.985075543,40.83626753,0,0,0,0,0,0,0
155,-73.965075543,40.83626753,0,0,0,0,0,0,0
156,-73.945075543,40.83626753,145,270,671,197,56,29,0
157,-73.925075543,40.83626753,229,337,1047,323,97,56,2
158,-73.905075543,40.83626753,252,279,631,381,129,73,1
159,-73.885075543,40.83626753,220,213,610,249,115,43,0
160,-73.865075543,40.83626753,174,239,639,201,119,49,0
161,-73.845075543,40.83626753,81,130,330,74,66,45,0
162,-73.825075543,40.83626753,19,90,149,28,22,21,0
163,-73.805075543,40.83626753,0,0,0,0,0,1,0
164,-73.785075543,40.83626753,1,5,10,1,4,1,0
165,-73.765075543,40.83626753,0,0,0,0,0,0,0
166,-73.745075543,40.83626753,0,0,0,0,0,0,0
167,-73.725075543,40.83626753,0,0,0,0,0,0,0
168,-73.705075543,40.83626753,0,0,0,0,0,0,0
169,-74.245075543,40.82126753,0,0,0,0,0,0,0
170,-74.225075543,40.82126753,0,0,0,0,0,0,0
171,-74.205075543,40.82126753,0,0,0,0,0,0,0
172,-74.185075543,40.82126753,0,0,0,0,0,0,0
173,-74.165075543,40.82126753,0,0,0,0,0,0,0
174,-74.145075543,40.82126753,0,0,0,0,0,0,0
175,-74.125075543,40.82126753,0,0,0,0,0,0,0
176,-74.105075543,40.82126753,0,0,0,0,0,0,0
177,-74.085075543,40.82126753,0,0,0,0,0,0,0
178,-74.065075543,40.82126753,0,0,0,0,0,0,0
179,-74.045075543,40.82126753,0,0,0,0,0,0,0
180,-74.025075543,40.82126753,0,0,0,0,0,0,0
181,-74.005075543,40.82126753,0,0,0,0,0,0,0
182,-73.985075543,40.82126753,0,0,0,0,0,0,0
183,-73.965075543,40.82126753,34,83,160,42,30,9,0
184,-73.945075543,40.82126753,263,400,887,401,148,55,2
185,-73.925075543,40.82126753,243,442,837,335,110,41,1
186,-73.905075543,40.82126753,314,335,1035,414,186,75,1
187,-73.885075543,40.82126753,233,239,646,219,112,56,0
188,-73.865075543,40.82126753,129,162,512,152,73,48,0
189,-73.845075543,40.82126753,56,88,317,65,42,27,0
190,-73.825075543,40.82126753,28,49,98,43,22,16,0
191,-73.805075543,40.82126753,1,20,17,3,1,8,0
192,-73.785075543,40.82126753,0,0,0,0,0,0,0
193,-73.765075543,40.82126753,0,0,0,0,0,0,0
194,-73.745075543,40.82126753,0,0,0,0,0,0,0
195,-73.725075543,40.82126753,0,0,0,0,0,0,0
196,-73.705075543,40.82126753,0,0,0,0,0,0,0
197,-74.245075543,40.80626753,0,0,0,0,0,0,0
198,-74.225075543,40.80626753,0,0,0,0,0,0,0
199,-74.205075543,40.80626753,0,0,0,0,0,0,0
200,-74.185075543,40.80626753,0,0,0,0,0,0,0
201,-74.165075543,40.80626753,0,0,0,0,0,0,0
202,-74.145075543,40.80626753,0,0,0,0,0,0,0
203,-74.125075543,40.80626753,0,0,0,0,0,0,0
204,-74.105075543,40.80626753,0,0,0,0,0,0,0
205,-74.085075543,40.80626753,0,0,0,0,0,0,0
206,-74.065075543,40.80626753,0,0,0,0,0,0,0
207,-74.045075543,40.80626753,0,0,0,0,0,0,0
208,-74.025075543,40.80626753,0,0,0,0,0,0,0
209,-74.005075543,40.80626753,0,0,0,0,0,0,0
210,-73.985075543,40.80626753,0,0,0,0,0,0,0
211,-73.965075543,40.80626753,102,377,619,80,73,23,1
212,-73.945075543,40.80626753,362,612,1601,491,172,65,0
213,-73.925075543,40.80626753,179,253,559,315,92,28,0
214,-73.905075543,40.80626753,108,112,229,109,63,20,0
215,-73.885075543,40.80626753,9,35,76,27,17,20,0
216,-73.865075543,40.80626753,11,15,30,10,5,8,0
217,-73.845075543,40.80626753,3,13,20,7,2,3,0
218,-73.825075543,40.80626753,2,0,4,1,0,1,0
219,-73.805075543,40.80626753,1,0,3,0,2,1,0
220,-73.785075543,40.80626753,0,0,0,0,0,0,0
221,-73.765075543,40.80626753,0,0,0,0,0,0,0
222,-73.745075543,40.80626753,0,0,0,0,0,0,0
223,-73.725075543,40.80626753,0,0,0,0,0,0,0
224,-73.705075543,40.80626753,0,0,0,0,0,0,0
225,-74.245075543,40.79126753,0,0,0,0,0,0,0
226,-74.225075543,40.79126753,0,0,0,0,0,0,0
227,-74.205075543,40.79126753,0,0,0,0,0,0,0
228,-74.185075543,40.79126753,0,0,0,0,0,0,0
229,-74.165075543,40.79126753,0,0,0,0,0,0,0
230,-74.145075543,40.79126753,0,0,0,0,0,0,0
231,-74.125075543,40.79126753,0,0,0,0,0,0,0
232,-74.105075543,40.79126753,0,0,0,0,0,0,0
233,-74.085075543,40.79126753,0,0,0,0,0,0,0
234,-74.065075543,40.79126753,0,0,0,0,0,0,0
235,-74.045075543,40.79126753,0,0,0,0,0,0,0
236,-74.025075543,40.79126753,0,0,0,0,0,0,0
237,-74.005075543,40.79126753,0,0,0,0,0,0,0
238,-73.985075543,40.79126753,14,163,196,14,22,7,0
239,-73.965075543,40.79126753,95,475,765,112,94,22,0
240,-73.945075543,40.79126753,223,399,835,387,110,35,0
241,-73.925075543,40.79126753,24,119,316,53,10,6,0
242,-73.905075543,40.79126753,0,2,8,2,2,2,0
243,-73.885075543,40.79126753,0,5,13,446,0,0,0
244,-73.865075543,40.79126753,0,3,2,0,0,0,0
245,-73.845075543,40.79126753,16,40,67,18,17,12,0
246,-73.825075543,40.79126753,0,15,20,2,10,5,0
247,-73.805075543,40.79126753,6,41,40,9,13,8,0
248,-73.785075543,40.79126753,0,14,14,7,4,3,0
249,-73.765075543,40.79126753,0,0,0,0,0,0,0
250,-73.745075543,40.79126753,0,0,0,0,0,0,0
251,-73.725075543,40.79126753,0,0,0,0,0,0,0
252,-73.705075543,40.79126753,0,0,0,0,0,0,0
253,-74.245075543,40.77626753,0,0,0,0,0,0,0
254,-74.225075543,40.77626753,0,0,0,0,0,0,0
255,-74.205075543,40.77626753,0,0,0,0,0,0,0
256,-74.185075543,40.77626753,0,0,0,0,0,0,0
257,-74.165075543,40.77626753,0,0,0,0,0,0,0
258,-74.145075543,40.77626753,0,0,0,0,0,0,0
259,-74.125075543,40.77626753,0,0,0,0,0,0,0
260,-74.105075543,40.77626753,0,0,0,0,0,0,0
261,-74.085075543,40.77626753,0,0,0,0,0,0,0
262,-74.065075543,40.77626753,0,0,0,0,0,0,0
263,-74.045075543,40.77626753,0,0,0,0,0,0,0
264,-74.025075543,40.77626753,0,0,0,0,0,0,0
265,-74.005075543,40.77626753,0,0,0,0,0,0,0
266,-73.985075543,40.77626753,53,487,1092,57,42,23,0
267,-73.965075543,40.77626753,51,408,422,27,47,14,0
268,-73.945075543,40.77626753,30,409,704,64,94,27,0
269,-73.925075543,40.77626753,22,102,188,54,48,29,0
270,-73.905075543,40.77626753,20,127,213,35,37,35,0
271,-73.885075543,40.77626753,2,9,27,2,4,19,0
272,-73.865075543,40.77626753,1,1,1,0,2,0,0
